"allpar_column","iteration_0_value","block","expected_published_variance"
"u_log_lambda",0.959350221334602,"fixed_effect",NA
"u_log_gamma",-6.16581793425276,"fixed_effect",NA
"u_log_mu_t",-4.76768911548587,"fixed_effect",NA
"u_log_mu_l",-4.68855179492714,"fixed_effect",NA
"u_log_mu_a",-1.2413285908697,"fixed_effect",NA
"u_log_p",6.46302945692067,"fixed_effect",NA
"u_log_alpha_l",-11.0429218357245,"fixed_effect",NA
"u_pi",-0.228995469882148,"fixed_effect",NA
"u_eta_rti",2.19722457733622,"fixed_effect",NA
"u_eta_pi",4.59511985013459,"fixed_effect",NA
"beta_treat_nelf(u_eta_pi)",-5.6,"fixed_effect",NA
"u_log_sigma_v",-0.767870726755882,"fixed_effect",NA
"u_log_sigma_t",-1.3704210119636,"fixed_effect",NA
"omega2.u_log_lambda",0.3025,"iiv_variance",0.3025
"omega2.u_log_mu_t",0.1936,"iiv_variance",0.1936
"omega2.u_log_mu_a",0.159201,"iiv_variance",0.159201
"omega2.u_log_p",0.81,"iiv_variance",0.81
"omega2.u_log_alpha_l",0.459684,"iiv_variance",0.459684
"omega2.u_pi",0.2025,"iiv_variance",0.2025
"omega2.u_eta_rti",8.5849,"iiv_variance",8.5849
"omega2.u_eta_pi",10.1761,"iiv_variance",10.1761
