parameter,variance,sd
omega_u_log_lambda,0.2895654531856424,0.5381128628695308
omega_u_log_gamma,0,0
omega_u_log_mu_t,4.482639204983506,2.117224410633768
omega_u_log_mu_l,0,0
omega_u_log_mu_a,0.06485808850807429,0.25467251227424265
omega_u_log_p,0.3728720045647833,0.6106324627505348
omega_u_log_alpha_l,0.008138663693671333,0.09021454258417172
omega_u_pi,0.3398767738809128,0.5829895143833316
omega_u_eta_rti,6.360762377982496,2.5220551893212995
omega_u_eta_pi,0.9465453350571806,0.9729056146703958
omega_u_log_sigma_v,0,0
omega_u_log_sigma_t,0,0
