"coordinate","covariance_model_diagonal","omega_initial_variance","initialization_role"
"u_log_lambda",1,0.3025,"published_iiv_variance"
"u_log_gamma",0,1e-06,"positive_dummy_for_structurally_fixed_iiv"
"u_log_mu_t",1,0.1936,"published_iiv_variance"
"u_log_mu_l",0,1e-06,"positive_dummy_for_structurally_fixed_iiv"
"u_log_mu_a",1,0.159201,"published_iiv_variance"
"u_log_p",1,0.81,"published_iiv_variance"
"u_log_alpha_l",1,0.459684,"published_iiv_variance"
"u_pi",1,0.2025,"published_iiv_variance"
"u_eta_rti",1,8.5849,"published_iiv_variance"
"u_eta_pi",1,10.1761,"published_iiv_variance"
"u_log_sigma_v",0,1e-06,"positive_dummy_for_structurally_fixed_iiv"
"u_log_sigma_t",0,1e-06,"positive_dummy_for_structurally_fixed_iiv"
