"context","k","gaussian_population_mass","empirical_population_mass","membership_mcse","population_draws","physical_equilibrium_valid_fraction","sampled_inner_region_violations"
"comparator_chain01_retained0750",0.00390625,0.0056480972820808,0.005126953125,0.00117095758664435,4096,0.98681640625,0
"comparator_chain01_retained0750",0.0078125,0.00614018754324038,0.00634765625,0.00122060012217174,4096,0.98681640625,0
"comparator_chain01_retained0750",0.015625,4.21442503811415e-05,0,0.000101433179979758,4096,0.98681640625,0
"comparator_chain01_retained0750",0.03125,5.73295032734254e-10,0,3.7411844049832e-07,4096,0.98681640625,0
"comparator_chain01_retained0750",0.0625,1.24123225883612e-17,0,5.50486348098126e-11,4096,0.98681640625,0
"comparator_chain01_retained0750",0.125,4.20699810644377e-28,0,3.20483875894092e-16,4096,0.98681640625,0
"comparator_chain01_retained0750",0.25,2.34203572566372e-41,0,7.56165369370926e-23,4096,0.98681640625,0
"comparator_chain01_retained0750",0.5,2.28040936992719e-57,0,7.46150500120371e-31,4096,0.98681640625,0
"comparator_chain01_retained0750",1,4.06596339509357e-76,0,3.15066158846879e-40,4096,0.98681640625,0
"comparator_chain01_retained0750",2,1.35602670351849e-97,0,5.75379185332327e-51,4096,0.98681640625,0
"comparator_chain01_retained0750",4,8.51081263139838e-122,0,4.55832767041543e-63,4096,0.98681640625,0
"comparator_chain01_retained0750",8,1.00565736332567e-148,0,1.56691358159338e-76,4096,0.98681640625,0
"comparator_chain01_retained0750",16,2.23489199013155e-178,0,2.33586799130047e-91,4096,0.98681640625,0
"comparator_chain01_retained0750",32,9.32979916881745e-211,0,1.50923258651527e-107,4096,0.98681640625,0
"comparator_chain01_retained0750",64,7.30868516887553e-246,0,4.22415312821103e-125,4096,0.98681640625,0
"comparator_chain01_retained0750",128,1.07343557035264e-283,0,5.11926978233345e-144,4096,0.98681640625,0
"comparator_chain01_retained0750",256,0,0,0,4096,0.98681640625,0
"comparator_chain03_retained0750",0.00390625,0.00812124127819577,0.006103515625,0.00140236326747361,4096,0.994873046875,0
"comparator_chain03_retained0750",0.0078125,0.00395933671801528,0.0048828125,0.000981227653354302,4096,0.994873046875,0
"comparator_chain03_retained0750",0.015625,4.68705108574319e-07,0,1.06971914311244e-05,4096,0.994873046875,0
"comparator_chain03_retained0750",0.03125,2.53280547953578e-15,0,7.86359149992729e-10,4096,0.994873046875,0
"comparator_chain03_retained0750",0.0625,4.97430897481491e-28,0,3.48486858009656e-16,4096,0.994873046875,0
"comparator_chain03_retained0750",0.125,3.56007616608595e-45,0,9.32287091102214e-25,4096,0.994873046875,0
"comparator_chain03_retained0750",0.25,9.91007452944235e-67,0,1.55545870707474e-35,4096,0.994873046875,0
"comparator_chain03_retained0750",0.5,1.14689386429147e-92,0,1.67333016717199e-48,4096,0.994873046875,0
"comparator_chain03_retained0750",1,5.7321658756746e-123,0,1.18298544348224e-63,4096,0.994873046875,0
"comparator_chain03_retained0750",2,1.25289411917647e-157,0,5.53066319092537e-81,4096,0.994873046875,0
"comparator_chain03_retained0750",4,1.19933691481413e-196,0,1.71116002749098e-100,4096,0.994873046875,0
"comparator_chain03_retained0750",8,5.02111577809629e-240,0,3.50122599136615e-122,4096,0.994873046875,0
"comparator_chain03_retained0750",16,9.17851949675869e-288,0,4.73376117533759e-146,4096,0.994873046875,0
"comparator_chain03_retained0750",32,0,0,0,4096,0.994873046875,0
"comparator_chain03_retained0750",64,0,0,0,4096,0.994873046875,0
"comparator_chain03_retained0750",128,0,0,0,4096,0.994873046875,0
"comparator_chain03_retained0750",256,0,0,0,4096,0.994873046875,0
