"method","chain","counter","value"
"baseline",1,"local_attempts",111096
"baseline",1,"local_accepts",34230
"baseline",1,"dynamic_attempts",1851
"baseline",1,"dynamic_accepts",404
"baseline",1,"noise_attempts",18516
"baseline",1,"noise_accepts",8344
"baseline",1,"assignment_attempts",0
"baseline",1,"assignment_moves",0
"baseline",1,"assignment_self",0
"baseline",1,"correction_rejects",0
"baseline",1,"exact_cache_hits",0
"baseline",1,"reserve_refreshes",0
"recycling",1,"local_attempts",62832
"recycling",1,"local_accepts",19517
"recycling",1,"dynamic_attempts",1047
"recycling",1,"dynamic_accepts",310
"recycling",1,"noise_attempts",10472
"recycling",1,"noise_accepts",4820
"recycling",1,"assignment_attempts",47124
"recycling",1,"assignment_moves",736
"recycling",1,"assignment_self",46388
"recycling",1,"correction_rejects",0
"recycling",1,"exact_cache_hits",209
"recycling",1,"reserve_refreshes",20944
"baseline",2,"local_attempts",111096
"baseline",2,"local_accepts",35077
"baseline",2,"dynamic_attempts",1851
"baseline",2,"dynamic_accepts",465
"baseline",2,"noise_attempts",18516
"baseline",2,"noise_accepts",8403
"baseline",2,"assignment_attempts",0
"baseline",2,"assignment_moves",0
"baseline",2,"assignment_self",0
"baseline",2,"correction_rejects",0
"baseline",2,"exact_cache_hits",0
"baseline",2,"reserve_refreshes",0
"recycling",2,"local_attempts",64776
"recycling",2,"local_accepts",19253
"recycling",2,"dynamic_attempts",1079
"recycling",2,"dynamic_accepts",265
"recycling",2,"noise_attempts",10796
"recycling",2,"noise_accepts",5184
"recycling",2,"assignment_attempts",48582
"recycling",2,"assignment_moves",255
"recycling",2,"assignment_self",48327
"recycling",2,"correction_rejects",0
"recycling",2,"exact_cache_hits",92
"recycling",2,"reserve_refreshes",21592
"baseline",3,"local_attempts",111096
"baseline",3,"local_accepts",34329
"baseline",3,"dynamic_attempts",1851
"baseline",3,"dynamic_accepts",471
"baseline",3,"noise_attempts",18516
"baseline",3,"noise_accepts",8348
"baseline",3,"assignment_attempts",0
"baseline",3,"assignment_moves",0
"baseline",3,"assignment_self",0
"baseline",3,"correction_rejects",0
"baseline",3,"exact_cache_hits",0
"baseline",3,"reserve_refreshes",0
"recycling",3,"local_attempts",62844
"recycling",3,"local_accepts",21028
"recycling",3,"dynamic_attempts",1047
"recycling",3,"dynamic_accepts",273
"recycling",3,"noise_attempts",10474
"recycling",3,"noise_accepts",4811
"recycling",3,"assignment_attempts",47133
"recycling",3,"assignment_moves",597
"recycling",3,"assignment_self",46536
"recycling",3,"correction_rejects",0
"recycling",3,"exact_cache_hits",148
"recycling",3,"reserve_refreshes",20948
"baseline",4,"local_attempts",111096
"baseline",4,"local_accepts",36573
"baseline",4,"dynamic_attempts",1851
"baseline",4,"dynamic_accepts",417
"baseline",4,"noise_attempts",18516
"baseline",4,"noise_accepts",8033
"baseline",4,"assignment_attempts",0
"baseline",4,"assignment_moves",0
"baseline",4,"assignment_self",0
"baseline",4,"correction_rejects",0
"baseline",4,"exact_cache_hits",0
"baseline",4,"reserve_refreshes",0
"recycling",4,"local_attempts",64680
"recycling",4,"local_accepts",19773
"recycling",4,"dynamic_attempts",1078
"recycling",4,"dynamic_accepts",250
"recycling",4,"noise_attempts",10780
"recycling",4,"noise_accepts",4334
"recycling",4,"assignment_attempts",48510
"recycling",4,"assignment_moves",312
"recycling",4,"assignment_self",48198
"recycling",4,"correction_rejects",0
"recycling",4,"exact_cache_hits",99
"recycling",4,"reserve_refreshes",21560
