"variable","bulk_cpu_ratio","tail_cpu_ratio","bulk_wall_ratio","bulk_budget_ratio","bulk_ode_ratio"
"mu_log_lambda",0.753964119023907,0.315000766918831,0.941749374831697,0.871356974233442,0.903267059707102
"mu_log_mu_t",0.428330765531018,0.33898495901363,0.535012503223947,0.495022230378005,0.513150508626561
"mu_log_mu_a",0.567942130718763,0.404542559165933,0.709396021706462,0.656371203981796,0.680408265531608
"mu_log_p",0.323136753766638,0.404306276423797,0.403618458977656,0.373449421426362,0.387125564855739
"mu_log_alpha_l",0.365360542857597,1.05659639881046,0.456358670316778,0.422247490425454,0.437710674756271
"mu_u_pi",1.37194760474785,1.03222205842682,1.71365024736962,1.58556101479678,1.6436260662074
"mu_u_eta_rti",0.133825794588817,0.286298274925177,0.167156971015457,0.15466258473714,0.160326504857686
"mu_u_eta_pi",0.429967105568215,0.669806550380843,0.537056396518282,0.49691334995207,0.515110883154719
"beta_nelf",0.132194159154396,0.307286740532009,0.165118954070687,0.152776902276508,0.158371766556252
"log_omega_lambda",0.507077501176308,0.579314308791814,0.633372209200403,0.586029899803273,0.607490982626755
"log_omega_mu_t",0.394662962032841,0.583397444168496,0.492959264752317,0.456112321212516,0.47281567424218
"log_omega_mu_a",0.423146765396864,0.446811792443341,0.528537355717209,0.489031077009632,0.506939952393778
"log_omega_p",0.467109506841223,0.690558434501285,0.583449629692146,0.539838854723984,0.559608368833169
"log_omega_alpha_l",0.528905210607054,0.259413537813216,0.660636413413496,0.611256202175121,0.633641100941636
"log_omega_pi",0.363448866644609,0.489815961265497,0.453970864540566,0.420038164598624,0.435420440899715
"log_omega_eta_rti",0.584672360430947,0.926067938035192,0.730293147941908,0.675706344703229,0.700451481142336
"log_omega_eta_pi",0.445813660618891,0.773829914704805,0.55684975662079,0.515227227114894,0.534095435371397
"log_gamma_pop",0.403825438622413,2.67919722335061,0.504403783639118,0.46670140320744,0.483792540488033
"log_mu_l_pop",0.598498533220343,2.58859779420845,0.74756292146586,0.691685264366665,0.71701556705487
"log_sigma_v",0.750648604768242,1.24326993219331,0.937608085612841,0.867525231585551,0.899294994276444
"log_sigma_t",0.869166815017263,0.75905158692401,1.08564490539239,1.00449682806928,1.04128264672862
"treated_logit_location",0.126921669074177,0.352068645810342,0.158533276965414,0.146683481002133,0.152055197250195
