"category","attempts","ode_integrations","prediction_failures","ode_failures","elapsed_sec","budget_units","method","chain"
"initial",12,9,0,0,0.133000000000003,9,"baseline",1
"local",111096,83012,497,0,851.788000000002,83322,"baseline",1
"dynamic",22212,16655,5,0,170.446000000002,16659,"baseline",1
"assignment",0,0,0,0,0,0,"baseline",1
"common",0,0,0,0,0,0,"baseline",1
"initial",12,9,0,0,0.128999999999998,9,"recycling",1
"local",62832,46877,400,0,482.096000000006,47124,"recycling",1
"dynamic",12564,9421,3,0,96.4429999999972,9423,"recycling",1
"assignment",527,527,0,0,5.32699999999906,527,"recycling",1
"common",42861,39087,3774,0,428.936999999999,42861,"recycling",1
"initial",12,9,0,0,0.129999999999995,9,"baseline",2
"local",111096,82849,756,0,852.741000000001,83322,"baseline",2
"dynamic",22212,16655,9,0,171.498999999998,16659,"baseline",2
"assignment",0,0,0,0,0,0,"baseline",2
"common",0,0,0,0,0,0,"baseline",2
"initial",12,9,0,0,0.125999999999998,9,"recycling",2
"local",64776,48420,268,0,496.613999999996,48582,"recycling",2
"dynamic",12948,9711,1,0,99.8599999999954,9711,"recycling",2
"assignment",163,163,0,0,1.66499999999954,163,"recycling",2
"common",41481,38697,2784,0,421.122000000007,41481,"recycling",2
"initial",12,9,0,0,0.132999999999811,9,"baseline",3
"local",111096,82929,639,0,858.337000000041,83322,"baseline",3
"dynamic",22212,16657,4,0,172.413999999998,16659,"baseline",3
"assignment",0,0,0,0,0,0,"baseline",3
"common",0,0,0,0,0,0,"baseline",3
"initial",12,9,0,0,0.131999999999834,9,"recycling",3
"local",62844,46923,352,0,486.73099999999,47133,"recycling",3
"dynamic",12564,9422,1,0,97.9170000000038,9423,"recycling",3
"assignment",449,449,0,0,4.57999999999856,449,"recycling",3
"common",42931,39217,3714,0,428.858000000053,42931,"recycling",3
"initial",12,9,0,0,0.130999999999858,9,"baseline",4
"local",111096,82989,564,0,847.506999999991,83322,"baseline",4
"dynamic",22212,16655,5,0,171.128000000017,16659,"baseline",4
"assignment",0,0,0,0,0,0,"baseline",4
"common",0,0,0,0,0,0,"baseline",4
"initial",12,9,0,0,0.129999999999654,9,"recycling",4
"local",64680,48186,484,0,494.136999999996,48510,"recycling",4
"dynamic",12936,9699,4,0,99.938000000006,9702,"recycling",4
"assignment",213,213,0,0,2.0810000000015,213,"recycling",4
"common",41518,37147,4371,0,406.348999999994,41518,"recycling",4
