"variable","statistic","baseline","recycling","difference","combined_mcse","simultaneous_z","tolerance","passed"
"mu_log_lambda","mean",1.98363175277298,2.07111827402683,0.0874865212538465,0.0276995287907871,3.5062047266172,0.0971202187713269,TRUE
"mu_log_mu_t","mean",-4.13331442827906,-4.06801147681854,0.0653029514605166,0.0512219373857005,3.5062047266172,0.179594598968233,TRUE
"mu_log_mu_a","mean",0.945131975759375,0.968754794097542,0.023622818338167,0.0263606014247898,3.5062047266172,0.0924256653120701,TRUE
"mu_log_p","mean",7.15557991345233,7.285722732466,0.13014281901367,0.05348323605013,3.5062047266172,0.18752317503375,TRUE
"mu_log_alpha_l","mean",-8.76424091036695,-8.74036477623386,0.0238761341330971,0.143542388472549,3.5062047266172,0.503289000932376,TRUE
"mu_u_pi","mean",0.495490740282502,0.0286423699353595,-0.466848370347143,0.106531672710075,3.5062047266172,0.373521854390504,FALSE
"mu_u_eta_rti","mean",4.19439584270285,4.17469277790423,-0.0197030647986196,0.0471167700517447,3.5062047266172,0.165201041858363,TRUE
"mu_u_eta_pi","mean",5.29533239303099,5.3003944109807,0.00506201794971695,0.0172193275656994,3.5062047266172,0.0603744877000252,TRUE
"beta_nelf","mean",-0.844760829958979,-0.702659947537566,0.142100882421413,0.215875709234924,3.5062047266172,0.75690443208133,TRUE
"log_omega_lambda","mean",-0.782744238977621,-0.788419674779815,-0.00567543580219476,0.00860985440236648,3.5062047266172,0.0301879122010633,TRUE
"log_omega_mu_t","mean",-1.17747648705882,-1.17664900810746,0.000827478951364258,0.0234689563547507,3.5062047266172,0.0822869656997996,TRUE
"log_omega_mu_a","mean",-1.0109579306406,-1.03910032926222,-0.02814239862162,0.0341400314411528,3.5062047266172,0.11970193960583,TRUE
"log_omega_p","mean",-0.720429717724671,-0.688991361505865,0.0314383562188065,0.0288469113847198,3.5062047266172,0.101143177045412,TRUE
"log_omega_alpha_l","mean",-0.550092668034627,-0.483931095205805,0.0661615728288217,0.0575411854456996,3.5062047266172,0.201751176384869,TRUE
"log_omega_pi","mean",-1.25744258515213,-1.23952694744446,0.0179156377076732,0.0318339123750243,3.5062047266172,0.111616214036028,TRUE
"log_omega_eta_rti","mean",-1.04300510876683,-1.0267534782134,0.0162516305534328,0.019479848703728,3.5062047266172,0.0683003375987993,TRUE
"log_omega_eta_pi","mean",-1.0578604649835,-1.05820092178659,-0.000340456803087141,0.0207531765331605,3.5062047266172,0.0727648856528885,TRUE
"log_gamma_pop","mean",-5.99770639296076,-5.97797347536947,0.0197329175912939,0.130812152644597,3.5062047266172,0.458654187901457,TRUE
"log_mu_l_pop","mean",-3.70073013282659,-3.32158381778001,0.37914631504658,0.0847945454448857,3.5062047266172,0.297307036030216,FALSE
"log_sigma_v","mean",-0.660989027577353,-0.693495442303589,-0.0325064147262354,0.0102031068707031,3.5062047266172,0.0357741815362398,TRUE
"log_sigma_t","mean",-1.08512026980464,-1.07609233911449,0.00902793069014729,0.00664005395499275,3.5062047266172,0.0232813885619888,TRUE
"treated_logit_location","mean",4.45057156307201,4.59773446344314,0.14716290037113,0.233638047610083,3.5062047266172,0.819182826848089,TRUE
"mu_log_lambda","sd",0.209950698108763,0.194547432524312,-0.0154032655844511,0.0109312683024691,3.5062047266172,0.0383272645900381,TRUE
"mu_log_mu_t","sd",0.302767918436207,0.306922965915759,0.00415504747955153,0.0219287372710871,3.5062047266172,0.0768866422686326,TRUE
"mu_log_mu_a","sd",0.22918616183359,0.226041108900217,-0.00314505293337308,0.0100847014762766,3.5062047266172,0.0353590279826447,TRUE
"mu_log_p","sd",0.326613667307598,0.357816077141806,0.031202409834208,0.0229699151093674,3.5062047266172,0.08053722492646,TRUE
"mu_log_alpha_l","sd",0.636448468449331,0.586822876424152,-0.0496255920251785,0.0576232819598166,3.5062047266172,0.202039023570705,TRUE
"mu_u_pi","sd",0.459699426025175,0.403809759909819,-0.0558896661153566,0.0444035949866604,3.5062047266172,0.155688094621025,TRUE
"mu_u_eta_rti","sd",0.249179137135901,0.264947035894935,0.015767898759034,0.0135939882706969,3.5062047266172,0.0476633059282963,TRUE
