"method","prediction_calls","observation_likelihood_calls","ode_integrations","ode_failures","prediction_failures","elapsed_seconds","snapshot","grid","vector_id"
"original",12,12,9,0,0,0.145999999999997,"comparator_chain01_retained0750","panel12","reserve_001"
"common",1,12,1,0,0,0.0210000000000008,"comparator_chain01_retained0750","panel12","reserve_001"
"original",12,12,9,0,0,0.116,"comparator_chain01_retained0750","panel12","reserve_002"
"common",1,12,1,0,0,0.0429999999999993,"comparator_chain01_retained0750","panel12","reserve_002"
"original",12,12,9,0,0,0.138999999999999,"comparator_chain01_retained0750","panel12","reserve_003"
"common",1,12,1,0,0,0.0109999999999992,"comparator_chain01_retained0750","panel12","reserve_003"
"original",12,12,9,0,0,0.105,"comparator_chain01_retained0750","panel12","reserve_004"
"common",1,12,1,0,0,0.0410000000000004,"comparator_chain01_retained0750","panel12","reserve_004"
"original",12,12,9,0,0,0.113,"comparator_chain01_retained0750","panel12","reserve_005"
"common",1,12,1,0,0,0.00999999999999801,"comparator_chain01_retained0750","panel12","reserve_005"
"original",12,12,9,0,0,0.109999999999999,"comparator_chain01_retained0750","panel12","reserve_006"
"common",1,12,1,0,0,0.0109999999999992,"comparator_chain01_retained0750","panel12","reserve_006"
"original",12,12,9,0,0,0.108000000000001,"comparator_chain01_retained0750","panel12","reserve_007"
"common",1,12,1,0,0,0.0109999999999992,"comparator_chain01_retained0750","panel12","reserve_007"
"original",12,12,9,0,0,0.103999999999999,"comparator_chain01_retained0750","panel12","reserve_008"
"common",1,12,1,0,0,0.0109999999999992,"comparator_chain01_retained0750","panel12","reserve_008"
"original",12,12,9,0,0,0.156000000000002,"comparator_chain01_retained0750","panel12","reserve_009"
"common",1,12,1,0,0,0.0229999999999997,"comparator_chain01_retained0750","panel12","reserve_009"
"original",12,12,9,0,0,0.157,"comparator_chain01_retained0750","panel12","reserve_010"
"common",1,12,1,0,0,0.0120000000000005,"comparator_chain01_retained0750","panel12","reserve_010"
"original",12,12,9,0,0,0.155000000000001,"comparator_chain01_retained0750","panel12","reserve_011"
"common",1,12,1,0,0,0.0110000000000028,"comparator_chain01_retained0750","panel12","reserve_011"
"original",12,12,9,0,0,0.151,"comparator_chain01_retained0750","panel12","reserve_012"
"common",1,12,1,0,0,0.0110000000000028,"comparator_chain01_retained0750","panel12","reserve_012"
"original",12,12,9,0,0,0.117000000000001,"comparator_chain01_retained0750","panel12","reserve_013"
"common",1,12,1,0,0,0.0119999999999969,"comparator_chain01_retained0750","panel12","reserve_013"
"original",12,12,9,0,0,0.113000000000003,"comparator_chain01_retained0750","panel12","reserve_014"
"common",1,12,1,0,0,0.0219999999999985,"comparator_chain01_retained0750","panel12","reserve_014"
"original",12,12,9,0,0,0.130000000000003,"comparator_chain01_retained0750","panel12","reserve_015"
"common",1,12,1,0,0,0.0119999999999969,"comparator_chain01_retained0750","panel12","reserve_015"
"original",12,12,9,0,0,0.118000000000002,"comparator_chain01_retained0750","panel12","reserve_016"
"common",1,12,1,0,0,0.0230000000000032,"comparator_chain01_retained0750","panel12","reserve_016"
"original",12,12,9,0,0,0.114000000000001,"comparator_chain01_retained0750","panel12","reserve_017"
"common",1,12,1,0,0,0.0219999999999985,"comparator_chain01_retained0750","panel12","reserve_017"
"original",12,12,9,0,0,0.113000000000003,"comparator_chain01_retained0750","panel12","reserve_018"
"common",1,12,1,0,0,0.0109999999999992,"comparator_chain01_retained0750","panel12","reserve_018"
